asset_id,asset_type,source_url,local_path,source_hash,download_status,download_error,file_size
style_008_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/d15c06e8c2137d4f39f3b60476a90cf92026957.png,data/raw/images/nail_styles_enhanced/style_008_enhanced.png,3fbab85d5432371d0580477ae51d3caf43c2ca07,exists,,1454656
hand_009,hand,http://p0.meituan.net/pilotimages/e0d094b37e9595e465280b26b9cefc7b2318139.png,data/raw/images/hands/hand_009.png,69c0b60f6133805f98e9f2985da341f811c0b61e,exists,,1567468
style_009_original,style_original,http://p0.meituan.net/pilotimages/6b20ca923ac4461aeaab7bf136bfda3c1063942.png,data/raw/images/nail_styles_original/style_009_original.png,90a5e676cdb540c324aecdfa4da4e431d1d3bbbb,exists,,1063942
style_009_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/69614397f0ecb559b98cb46a5a46f3b32642714.png,data/raw/images/nail_styles_enhanced/style_009_enhanced.png,b57fa8c47125233ffd45e9ff5f5e62ff276a3533,exists,,1334062
hand_010,hand,http://p0.meituan.net/pilotimages/4b310e7ce87af3d5f20064a25420f34b2320446.png,data/raw/images/hands/hand_010.png,4de95d17b3d718533a4a2ad6ce5c9f21a1e46835,exists,,1249686
style_010_original,style_original,http://p0.meituan.net/pilotimages/a5894d122ca3bd7e1f12401a8c72351e1460094.png,data/raw/images/nail_styles_original/style_010_original.png,84cfbda939d00cf6a2bb7765a2cd95f76802ff2d,exists,,1460094
style_010_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/2277d6f9d82264fa6a3c986373e5e44c2292083.png,data/raw/images/nail_styles_enhanced/style_010_enhanced.png,9848c84dbd498045139b1746958539e8f3f4f47c,exists,,1401714
hand_011,hand,http://p0.meituan.net/pilotimages/e763917e1e5b4a68f33d8075fc1504bf2680556.png,data/raw/images/hands/hand_011.png,ea94ee3de04bad91bb4be076ee21a4d9914c43e4,exists,,1844841
style_011_original,style_original,http://p0.meituan.net/pilotimages/b6491d47c001ca175fa04e5243f84aa5896438.png,data/raw/images/nail_styles_original/style_011_original.png,dd71cd67e9ad86039cf053e71135ae50b5e5388e,exists,,896438
style_011_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/bc153edf655dd6961dc9f8e95ad8cd1e2561531.png,data/raw/images/nail_styles_enhanced/style_011_enhanced.png,073fa8fa9977496beddffa670b5eae5a2ed125e9,exists,,1470606
hand_012,hand,http://p0.meituan.net/pilotimages/8a73302ae05d6520b90d50db36d481492489372.png,data/raw/images/hands/hand_012.png,01d428aa740088a015ff1745a1e5e89d0d78956f,exists,,1391032
style_012_original,style_original,http://p1.meituan.net/pilotimages/d571f8a5702261542c115c247d210bfd1180529.png,data/raw/images/nail_styles_original/style_012_original.png,93ee1c5d5ed4840a77d6eb6e5c32febd77706bbe,exists,,1180529
style_012_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/43cc4ced977a3dd271f60ee2f05607772681747.png,data/raw/images/nail_styles_enhanced/style_012_enhanced.png,9da1418005d8b7c4a60847fcf786f980ed06a6d8,exists,,1534373
hand_013,hand,http://p0.meituan.net/pilotimages/badf638f6e3989a31d524b7a8cc4a2332706287.png,data/raw/images/hands/hand_013.png,6ad058689ed7a30f4f6630bc8f8ff091d7d419b6,exists,,1383612
style_013_original,style_original,http://p0.meituan.net/pilotimages/5fa531643ac8f829d8ab574b4c11e0081087649.png,data/raw/images/nail_styles_original/style_013_original.png,b813b571478b5ead9281286faf37982af29e373c,exists,,1087649
style_013_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/682c173ae3a95d0b838655e8337b30d72213857.png,data/raw/images/nail_styles_enhanced/style_013_enhanced.png,270fbd0224db1d3479c83c499077271a935885de,exists,,1549984
style_014_original,style_original,http://p0.meituan.net/pilotimages/b99490b3f4a5e088ffe36c6ae60211941005960.png,data/raw/images/nail_styles_original/style_014_original.png,a98210c934a617270856d1bd60341d3bc893ee86,exists,,1005960
style_014_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/eecfba4ab276e895b579a79491b2d0211982788.png,data/raw/images/nail_styles_enhanced/style_014_enhanced.png,48b55acc63e5aaba49b2ed4fd747954ff1eb1058,exists,,1267184
style_015_original,style_original,http://p0.meituan.net/pilotimages/5c66d21b6fc2b78c59f3f2e36fc788451052442.png,data/raw/images/nail_styles_original/style_015_original.png,f94bd05a293d13d085abb48a4f6619ee8fc15f72,exists,,1052442
style_015_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/1248ad42d355b98257e5fbcdf90efc552138079.png,data/raw/images/nail_styles_enhanced/style_015_enhanced.png,2cc00e13ca1e9295fa9c2cfc06df94738046db3a,exists,,1338550
style_016_original,style_original,http://p0.meituan.net/pilotimages/81a8b3a96d3dd6ba1c849cc666bf85f51089012.png,data/raw/images/nail_styles_original/style_016_original.png,7eb3327414260079e37d65fcc34cdad361456d68,exists,,1089012
style_016_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/137aad1f6a36655ae395cf7dc57604642782680.png,data/raw/images/nail_styles_enhanced/style_016_enhanced.png,4fbd597976d70fef95aa87ab479be100660787b6,exists,,1477113
style_017_original,style_original,http://p0.meituan.net/pilotimages/ff68ba22d655fd1e0a812f197e406d951137747.png,data/raw/images/nail_styles_original/style_017_original.png,34f0026e8677d5072fb520f8fb9095476954d2f9,exists,,1137747
style_017_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/ec437f6291295904c2f894edb8c01cb82131722.png,data/raw/images/nail_styles_enhanced/style_017_enhanced.png,6482d643697dad8c8e47335f21a2c391401ad084,exists,,1369801
style_018_original,style_original,http://p1.meituan.net/pilotimages/29c85d420f45062d29890f4ae014b82f960529.png,data/raw/images/nail_styles_original/style_018_original.png,6d1e82ecc5b7eeb69b1c6328b1728419d64f9270,exists,,960529
style_018_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/5591229138c4e7e1d183b59be442d9dc2267735.png,data/raw/images/nail_styles_enhanced/style_018_enhanced.png,22e80117fb9afe58bfa910145aa2100646dff5d0,exists,,1651037
style_019_original,style_original,http://p0.meituan.net/pilotimages/b6a8da8cb0d46f30ec2c65b79c3710e91040053.png,data/raw/images/nail_styles_original/style_019_original.png,7611424b7951b09d52009b0fe205bd9b69568c78,exists,,1040053
style_019_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/5fad21e6d38656170bf726ff3973a4501918338.png,data/raw/images/nail_styles_enhanced/style_019_enhanced.png,ea6537c46b876542e21c7b21babd54d871a73670,exists,,1430337
style_020_original,style_original,http://p0.meituan.net/pilotimages/7f3d1832f40e03685a0e413e6196efcd1139460.png,data/raw/images/nail_styles_original/style_020_original.png,c5136f1383aa4a40b154889385e08785b1f009dc,exists,,1139460
style_020_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/d5eedc75b0021f79381962fc145b0bc62301165.png,data/raw/images/nail_styles_enhanced/style_020_enhanced.png,621446cdadc9172ff861c77830f78c161d461044,exists,,1381726
style_021_original,style_original,http://p0.meituan.net/pilotimages/fe1824a01b10a0fee24a8aaa5b1ef1991009918.png,data/raw/images/nail_styles_original/style_021_original.png,ce77af4ee63c83a4e2c3bfa92f3edc73c3c0bc1f,exists,,1009918
style_021_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/f4b69d45af5d3b496adbd9d21e768a8e2195181.png,data/raw/images/nail_styles_enhanced/style_021_enhanced.png,d5bbf18546a9af961daee769dbaac42bb07797ba,exists,,1411927
style_022_original,style_original,http://p0.meituan.net/pilotimages/1e86c987caf89d5b15a226ad097e270b963164.png,data/raw/images/nail_styles_original/style_022_original.png,c91eb460f8ddc3c1be083919ffa85969baa0c6d2,exists,,963164
style_022_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/5b985a1c661ae2e964286178e6c0b0f92258113.png,data/raw/images/nail_styles_enhanced/style_022_enhanced.png,9544aefffe54d79ed9e3f9fa311b7e9343fa4157,exists,,1270162
style_023_original,style_original,http://p0.meituan.net/pilotimages/ec8057452f9520a0ca5cdba3f78f6f80982638.png,data/raw/images/nail_styles_original/style_023_original.png,c4d05d862620134a95467312986cc2371804fbf8,exists,,982638
style_023_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/bf8657d94693fb0fe1da3f7729d5667d2020119.png,data/raw/images/nail_styles_enhanced/style_023_enhanced.png,bbb7008e7487da929744da829465085a1cf7cf43,exists,,1201099
style_024_original,style_original,http://p1.meituan.net/pilotimages/1fb5e1b20aea0b0881a4eb5d41bff80b1076304.png,data/raw/images/nail_styles_original/style_024_original.png,ed20efa2c6e96ed25e25d0e1af1f4cc49353a6a4,exists,,1076304
style_024_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/e80e1d25e48d7ef5c505b29ee8e331822641412.png,data/raw/images/nail_styles_enhanced/style_024_enhanced.png,29992f1ef955a0e56188a15293aa7365e422e40b,exists,,1491955
style_025_original,style_original,http://p0.meituan.net/pilotimages/0d9545bd4583f87e8cc3882d15ff84101211916.png,data/raw/images/nail_styles_original/style_025_original.png,d240df534197264186b5a7e86312165e784923ee,exists,,1211916
style_025_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/73ee568aa09547d8bfc0168113ac9ebc2712329.png,data/raw/images/nail_styles_enhanced/style_025_enhanced.png,9eb89d4cc98049fc2850826b1d9752148baf50d3,exists,,1501913
